id,customerWWID,countryId,type,busSelector,category,itemId,brandId,unit,jan_fcats,feb_fcats,mar_fcats,apr_fcats,may_fcats,jun_fcats,jul_fcats,aug_fcats,sep_fcats,oct_fcats,nov_fcats,dec_fcats,sales,unitPrice,year,status,sapCode,divested,createdDate,modifiedDate
1,54806,5,Private ???,DPO,Hosp.,2,1,MB & RP,0,10,0,1,14,4,70,105,NULL,NULL,NULL,NULL,0,512,2019,0,418612,0,0000-00-00 00:00:00,0000-00-00
2,54806,5,Private ???,DPO,Hosp.,7,4,MB & RP,55,100,82,100,100,50,121,190,NULL,NULL,NULL,NULL,0,3,2019,0,418612,0,0000-00-00 00:00:00,0000-00-00
3,54847,1,Private ???,DPO,Hosp.,85,33,CNS,3792,3603,3792,1896,379,8532,100,0,NULL,NULL,NULL,NULL,20,190,2019,0,416567,0,0000-00-00 00:00:00,0000-00-00
4,54847,1,MOH ???????,TND,Ministry Of Health ?,50,19,CNS,5679,35866,0,35866,17036,313824,200,0,NULL,NULL,NULL,NULL,30,299,2019,0,414738,0,0000-00-00 00:00:00,0000-00-00
5,54847,1,Private ???,DPO,Pharmacy,85,33,CNS,1896,3792,948,948,569,5688,300,0,NULL,NULL,NULL,NULL,1050,190,2019,0,416567,0,0000-00-00 00:00:00,0000-00-00
6,54847,1,Private ???,DPO,Pharmacy,50,19,CNS,0,2989,897,1494,14944,897,400,0,NULL,NULL,NULL,NULL,1000,299,2019,0,414738,0,0000-00-00 00:00:00,0000-00-00
7,54847,1,MOH ???????,TND,Ministry Of Health ?,51,19,CNS,54247,-75112,75112,54247,41729,0,500,0,NULL,NULL,NULL,NULL,1500,348,2019,0,414739,0,0000-00-00 00:00:00,0000-00-00
8,54847,1,Private ???,DPO,Pharmacy,52,19,CNS,0,-1121,0,374,561,-561,600,0,NULL,NULL,NULL,NULL,700,187,2019,0,414736,0,0000-00-00 00:00:00,0000-00-00
9,54847,1,Private ???,DPO,Hosp.,52,19,CNS,934,1869,0,0,1869,0,700,0,NULL,NULL,NULL,NULL,10,187,2019,0,414736,0,0000-00-00 00:00:00,0000-00-00
10,54847,1,Private ???,DPO,Hosp.,54,20,MB & RP,335,1341,335,168,335,503,800,0,NULL,NULL,NULL,NULL,100,34,2019,0,414921,0,0000-00-00 00:00:00,0000-00-00
11,54847,1,Private ???,DPO,Hosp.,55,20,MB & RP,603,-603,168,0,168,168,1000,0,NULL,NULL,NULL,NULL,100,34,2019,0,414922,0,0000-00-00 00:00:00,0000-00-00
12,59051,1,Institution,TND,Other Institution,2,1,MB & RP,210,0,10,20,96,79,500,125,NULL,NULL,NULL,NULL,210,563,2019,0,414434,0,0000-00-00 00:00:00,0000-00-00
13,59051,1,Institution,TND,Other Institution,3,2,MB & RP,17,360,192,96,200,96,542,152,NULL,NULL,NULL,NULL,360,24,2019,0,377568,0,0000-00-00 00:00:00,0000-00-00
14,59051,1,Institution,DPO,Other Institution,5,2,MB & RP,800,240,120,0,168,0,300,155,NULL,NULL,NULL,NULL,800,33,2019,0,377567,0,0000-00-00 00:00:00,0000-00-00
15,59051,1,Institution,DPO,Other Institution,7,4,MB & RP,900,0,250,1000,600,4000,690,8000,NULL,NULL,NULL,NULL,4000,3,2019,0,32230,0,0000-00-00 00:00:00,0000-00-00
16,54817,1,MOH ???????,TND,Ministry Of Health ?,2,1,MB & RP,0,0,0,15360,0,0,25,12,NULL,NULL,NULL,NULL,1000,3,2019,0,418610,0,0000-00-00 00:00:00,0000-00-00
17,54817,1,Institution,DPO,Other Institution,7,4,MB & RP,100,20,80,25,60,10,25,90,NULL,NULL,NULL,NULL,0,3,2019,0,418610,0,0000-00-00 00:00:00,0000-00-00
18,54824,1,MOH ???????,TND,Ministry Of Health ?,51,19,CNS,0,0,574448,0,0,0,900,1000,NULL,NULL,NULL,NULL,892,644,2019,0,418657,0,0000-00-00 00:00:00,0000-00-00
19,54824,1,Private ???,DPO,Hosp.,54,20,MB & RP,0,0,990,495,297,495,200,800,NULL,NULL,NULL,NULL,1350,50,2019,0,414907,0,0000-00-00 00:00:00,0000-00-00
20,54824,1,Private ???,DPO,Hosp.,55,20,MB & RP,0,0,1089,495,148,1485,1520,450,NULL,NULL,NULL,NULL,300,50,2019,0,414908,0,0000-00-00 00:00:00,0000-00-00
21,54806,5,Private ???,DPO,Hosp.,8,5,MB & RP,10,200,200,100,200,100,101,101,NULL,NULL,NULL,NULL,0,2,2019,0,418606,0,0000-00-00 00:00:00,0000-00-00
22,54806,5,Private ???,DPO,Hosp.,9,6,MB & RP,100,50,50,50,100,50,60,60,NULL,NULL,NULL,NULL,0,3,2019,0,418611,0,0000-00-00 00:00:00,0000-00-00
23,54817,1,Private ???,DPO,Hosp.,8,5,MB & RP,5,3,20,20,20,60,15,15,NULL,NULL,NULL,NULL,0,2,2019,0,418606,0,0000-00-00 00:00:00,0000-00-00
24,54817,1,Private ???,DPO,Hosp.,9,6,MB & RP,315,100,400,300,110,111,118,50,NULL,NULL,NULL,NULL,0,3,2019,0,418611,0,0000-00-00 00:00:00,0000-00-00
25,54824,2,Private ???,DPO,Hosp.,60,22,MB & RP,430,100,100,100,125,100,100,400,NULL,NULL,NULL,NULL,320,3,2019,0,418515,0,0000-00-00 00:00:00,0000-00-00
