"1","Apalutamide","0","1","1"
"2","Caelyx 20 mg","0","1","2"
"3","Concerta 18 mg 30 Tab","0","1","3"
"4","Concerta 27 mg 30 Tab","0","1","3"
"5","Concerta 36 mg 30 Tab","0","1","3"
"6","Concerta 54 mg 30 Tab","0","1","3"
"7","Dak.O.Gel.","0","1","4"
"8","Daktacort Cr.","0","1","5"
"9","Daktarin Cr.","0","1","6"
"10","Daktarin Cr. 15 mg.","0","1","6"
"11","Daktarin Powder","0","0","6"
"12","Daktarin Tincture","0","0","6"
"13","Darzalex 100 mg.","0","0","7"
"14","Darzalex 400 mg.","0","0","7"
"15","Durogesic 100 mcg","0","0","8"
"16","Durogesic 12 ?mcg","0","0","8"
"17","Durogesic 25 ?mcg","0","0","8"
"18","Durogesic 50 ?mcg","0","0","8"
"19","Durogesic 75 ?mcg","0","0","8"
"20","Eprex 1000 IU","0","0","9"
"21","Eprex 10000 IU","0","0","9"
"22","Eprex 2000 IU","0","0","9"
"23","Eprex 3000 IU","0","0","9"
"24","Eprex 4000 IU","0","0","9"
"25","Eprex 40000 IU","0","0","9"
"26","Evra","0","0","10"
"27","Fentanyl 0.05 ml 50 * 10 ml Amp.","0","0","11"
"28","Fentanyl 0.05 ml 50 * 2 ml Amp.","0","0","11"
"29","Guselkumab","0","0","12"
"30","Gyno Pevaryl Cr.","0","0","13"
"31","Gyno Pevaryl Dep Ov.","0","0","13"
"32","Gyno Pevaryl Supp.","0","0","13"
"33","Gyno. Dak. Cr.","0","0","14"
"34","Gyno. Dak. Ov. 1200 mg.","0","0","14"
"35","Gyno. Dak. Ov. 200 mg.","0","0","14"
"36","Gyno. Dak. Ov. 400 mg.","0","0","14"
"37","Haldol 10 mg 20 Tab.","0","0","15"
"38","Haldol 5 mg. / 5 Amp.","0","0","15"
"39","Haldol 5 mg. 1000 Tab.","0","0","15"
"40","Haldol 5 mg. 25 Tab.","0","0","15"
"41","Haldol Decanoace 100 mg. 1 Amp.","0","0","15"
"42","Haldol Decanoace 50 mg.1 Amp.","0","0","15"
"43","Haldol Decanoace 50 mg.5 Amp.","0","0","15"
"44","Haldol Oral Drops 2 mg/ml,30 ml","0","0","15"
"45","Imbruvica","0","0","16"
"46","Intelence 100 mg.","0","0","17"
"47","Invega 3 mg.","0","0","18"
"48","Invega 6 mg.","0","0","18"
"49","Invega 9 mg.","0","0","18"
"50","Invega Sustenna 100 mg","0","0","19"
"51","Invega Sustenna 150 mg","0","0","19"
"52","Invega Sustenna 50 mg","0","0","19"
"53","Invega Sustenna 75 mg","0","0","19"
"54","Invokana 100 mg 30 Tab","0","0","20"
"55","Invokana 300 mg 30 Tab","0","0","20"
"56","Jurnista 16 mg","0","0","21"
"57","Jurnista 32 mg","0","0","21"
"58","Jurnista 8 mg","0","0","21"
"59","Leustatin","0","0","22"
"60","Motilium Susp.","0","0","23"
"61","Motilium Susp. 100 ml","0","0","23"
"62","Motilium Tab.","0","0","23"
"63","Motilium Tab. 100's","0","0","23"
"64","Nizoral Cr.","0","0","24"
"65","Pariet 20 mg. ?","0","0","25"
"66","Pariet 20 mg. 28'S","0","0","25"
"67","Pevaryl Cr.","0","0","26"
"68","Pevisone Cr.","0","0","27"
"69","Prezista 400 mg.","0","0","28"
"70","Prezista 600 mg.","0","0","28"
"71","Remicade","0","0","29"
"72","Resolor 1 mg tab 28's","0","0","30"
"73","Resolor 2 mg tab 28's","0","0","30"
"74","Rezolsta","0","0","30"
"75","Risperdal 1 mg.","0","0","31"
"76","Risperdal 1 mg. 20 Tab","0","0","31"
"77","Risperdal 1mg/ml ?Soul. Oral 100 ml","0","0","31"
"78","Risperdal 2 mg.","0","0","31"
"79","Risperdal 2 mg. 20 Tab.","0","0","31"
"80","Risperdal 3 mg. 20 Tab.","0","0","31"
"81","Risperdal 4 mg.","0","0","31"
"82","Risperdal 4 mg. 20 Tab","0","0","31"
"83","Risperdal Consta 25 mg.","0","0","31"
"84","Risperdal Consta 37.5 mg.","0","0","31"
"85","Risperdal Consta 50 mg.","0","0","31"
"86","Simponi","0","0","32"
"87","Simponi 100 mg","0","0","32"
"88","Sporanox 1% 150ML. Oral Sol.","0","0","33"
"89","Sporanox 15 Cap.","0","0","33"
"90","Sporanox 4 Cap. ??????????","0","0","33"
"91","Sporanox Inj","0","0","33"
"92","Stelara 130 mg.","0","0","34"
"93","Stelara 45 mg.","0","0","34"
"94","Stelara 90 mg.","0","0","34"
"95","Stugeron 25 mg","0","0","35"
"96","Sufenta 50 mg./ 1ml. 5 ml","0","0","36"
"97","Symtuza","0","0","37"
"98","Topamax 100 mg 60Tab.","0","0","38"
"99","Topamax 15 mg Sprinkle","0","0","38"
"100","Topamax 200 mg 60Tab.","0","0","38"
"101","Topamax 25 mg 60 Tab.","0","0","38"
"102","Topamax 50 mg Sprinkle","0","0","38"
"103","Topamax 50 mg Tab.","0","0","38"
"104","Trevicta 175 mg.","0","0","39"
"105","Trevicta 263 mg.","0","0","39"
"106","Trevicta 350 mg.","0","0","39"
"107","Trevicta 525 mg.","0","0","39"
"108","Velcade","0","0","40"
"109","Vermox Susp.","0","0","41"
"110","Vermox Tab.","0","0","41"
"111","Vermox Tab.500 mg.","0","0","41"
"112","Yondelis","0","0","42"
"113","Zytiga","0","0","43"
