id,customerNumber,CountryId,itemId,FullMonth[1 to 12],Year,TargetSales,createDate,modifiedDate
,54806,5,2,12,2019,390,,
,54806,5,7,12,2019,63000,,
,54806,5,8,12,2019,165000,,
,54806,5,9,12,2019,55000,,
,54847,1,85,12,2019,46851,,
,54847,1,50,12,2019,23312,,
,54847,1,51,12,2019,22201,,
,54847,1,52,12,2019,80,,
,54847,1,54,12,2019,50100,,
,54847,1,55,12,2019,3290,,
,59051,1,2,12,2019,0,,
,59051,1,3,12,2019,27818,,
,59051,1,5,12,2019,9840,,
,59051,1,7,12,2019,304500,,
,54817,1,2,12,2019,50,,
,54817,1,7,12,2019,6100,,
,54817,1,8,12,2019,14400,,
,54817,1,9,12,2019,10200,,
,54824,1,51,12,2019,2629,,
,54824,1,54,12,2019,27000,,
,54824,1,55,12,2019,10000,,
,54824,1,60,12,2019,13500,,
